TimeStamp,Water_elev,Water_temp
7/2/2021 19:15:00,489.85,59.18
7/2/2021 19:30:00,489.85,59.18
7/2/2021 19:45:00,489.87,59.0
7/2/2021 20:00:00,489.86,59.0
7/2/2021 20:15:00,489.85,59.0
7/2/2021 20:30:00,489.88,59.0
7/2/2021 20:45:00,489.86,59.0
7/2/2021 21:00:00,489.85,58.82
7/2/2021 21:15:00,489.88,58.82
7/2/2021 21:30:00,489.84,58.82
7/2/2021 21:45:00,489.86,58.82
7/2/2021 22:00:00,489.86,58.64
7/2/2021 22:15:00,489.85,58.64
7/2/2021 22:30:00,489.85,58.64
7/2/2021 22:45:00,489.85,58.46
7/2/2021 23:00:00,489.84,58.46
7/2/2021 23:15:00,489.86,58.46
7/2/2021 23:30:00,489.84,58.28
7/2/2021 23:45:00,489.83,58.28
7/3/2021 0:00:00,489.85,58.28
7/3/2021 0:15:00,489.84,58.1
7/3/2021 0:30:00,489.85,58.1
7/3/2021 0:45:00,489.86,58.1
7/3/2021 1:00:00,489.84,57.92
7/3/2021 1:15:00,489.85,57.92
7/3/2021 1:30:00,489.84,57.92
7/3/2021 1:45:00,489.85,57.74
7/3/2021 2:00:00,489.83,57.74
7/3/2021 2:15:00,489.86,57.74
7/3/2021 2:30:00,489.84,57.56
7/3/2021 2:45:00,489.83,57.56
7/3/2021 3:00:00,489.85,57.38
7/3/2021 3:15:00,489.85,57.38
7/3/2021 3:30:00,489.86,57.2
7/3/2021 3:45:00,489.83,57.2
7/3/2021 4:00:00,489.84,57.2
7/3/2021 4:15:00,489.84,57.02
7/3/2021 4:30:00,489.84,57.02
7/3/2021 4:45:00,489.83,56.84
7/3/2021 5:00:00,489.85,56.84
7/3/2021 5:15:00,489.84,56.84
7/3/2021 5:30:00,489.84,56.84
7/3/2021 5:45:00,489.84,56.66
7/3/2021 6:00:00,489.85,56.66
7/3/2021 6:15:00,489.85,56.66
7/3/2021 6:30:00,489.82,56.48
7/3/2021 6:45:00,489.83,56.48
7/3/2021 7:00:00,489.84,56.48
7/3/2021 7:15:00,489.84,56.3
7/3/2021 7:30:00,489.84,56.3
7/3/2021 7:45:00,489.82,56.3
7/3/2021 8:00:00,489.83,56.12
7/3/2021 8:15:00,489.83,56.12
7/3/2021 8:30:00,489.84,56.12
7/3/2021 8:45:00,489.83,56.12
7/3/2021 9:00:00,489.81,56.12
7/3/2021 9:15:00,489.82,56.12
7/3/2021 9:30:00,489.84,55.94
7/3/2021 9:45:00,489.83,55.94
7/3/2021 10:00:00,489.82,55.94
